,Client and Project Details for Work Executed in since April 2022,,,,,,,,,,,,,,,,,,
,India Business,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Sr No,FY,Company Name,Sector,Purpose,Location,Use Case,,,,,,,,,,,,
,1,2022-23,"Reliance Industries
Limited (through Solutions 4 Hydrogen) ",Oil & Gas,Area Monitoring,Lead Acid Battery Room,"H2 outgassing during LA
battery over-charging",,,,,,,,,,,,
,2,2022-23,Ambit Switchgear Pvt Ltd,Manufacturing,Area Monitoring,Lead Acid Battery Room,"H2 outgassing during LA
battery over-charging",,,,,,,,,,,,
,3,2022-23,Adani Infrastructure Management Service Limited,Power Plant,Area Monitoring,"H2 Filled Generator Area +
Ors","24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,4,2022-23,Adani Power (Mundra) Ltd,Power Plant,Area Monitoring,"H2 Filled Generator Area +
Ors","24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,5,2022-23,"Reliance Industries
Limited (through Solutions 4 Hydrogen) ",Oil & Gas,Area Monitoring,Lead Acid Battery Room,"H2 outgassing during LA
battery over-charging",,,,,,,,,,,,
,6,2022-23,Adani Power Maharashtra Ltd,Power Plant,Area Monitoring,"H2 Filled Generator Area +
Ors","24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,7,2022-23,Motherson Sumi Wiring India Limited,"H2 Mobility -
FCEV Buses",Area Monitoring,On-board bus.,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,8,2022-23,Tata Motors Limited,"H2 Mobility -
FCEV Buses",Area Monitoring,On-board bus.,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,9,2022-23,Tata Motors Limited,"H2 Mobility -
FCEV Buses",Area Monitoring,On-board bus.,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,10,2022-23,Grasim Industries Limited Chemical Division Renukoo,Manufacturing,Area Monitoring,Chemical Plant,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,11,2022-23,Adani Infra (India ) Limited,Power Plant,Area Monitoring,"H2 Filled Generator Area +
Ors","24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,12,2022-23,Exenture Life Safety India Pvt. Ltd,Manufacturing,Area Monitoring,Lead Acid Battery Room,"H2 outgassing during LA
battery over-charging",,,,,,,,,,,,
,13,2022-23,L&T Defence (through Teerth Enterprises),H2 Fuel Cell - Artillery,Area Monitoring,On-board shelter.,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,14,2022-23,N3E Technologies Pvt Ltd,Oil & Gas,In-Line Analysis,H2-PNG Blending,24x7 analysis of H2 blend in PNG.,,,,,,,,,,,,
,15,2022-23,Reliance Industries Limited,"H2 Mobility -
FCEV Buses",Area Monitoring,On-board bus.,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,16,2022-23,"Macallum Green Energy Pty Ltd
",H2 Prospecting,Portable Analyzer,Finding buried H2 deposits.,Downhole probe with suction for trace H2 analysis.,,,,,,,,,,,,
,17,2022-23,Tata Motors Limited,"H2 Mobility -
FCEV Buses",Area Monitoring,On-board bus.,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,18,2022-23,Tata Motors Limited,"H2 Mobility -
FCEV Buses",Area Monitoring,On-board bus.,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,19,2022-23,Tata Motors Limited,"H2 Mobility -
FCEV Buses",Area Monitoring,On-board bus.,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,20,2022-23,Tata Motors Limited,"H2 Mobility -
FCEV Buses",Area Monitoring,On-board bus.,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,21,2022-23,DD Shah Fragrances Pvt Ltd,Manufacturing,Area Monitoring,Hydrogenation Plant,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,22,2022-23,Bosch (through S M Enterprises),"H2 Mobility -
FCEV Buses",Area Monitoring,On-board bus.,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,23,2022-23,Bosch (through S M Enterprises),"H2 Mobility -
FCEV Buses",Area Monitoring,On-board bus.,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,24,2022-23,Tenughat Vidyut Nigam Limited,Power Plant,Area Monitoring,"H2 Filled Generator Area +
Ors","24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,25,2022-23,OHM CLEAN TECH PRIVATE LIMITED,H2 Fuel Cell,Area Monitoring,Inside FC Container.,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,26,2022-23,The West Bengal Power Development Cor (Santaldih),Power Plant,Area Monitoring,"H2 Filled Generator Area +
Ors","24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,27,2022-23,"Reliance Industries
Limited (through Solutions 4 Hydrogen) ",Oil & Gas,Area Monitoring,Lead Acid Battery Room,"H2 outgassing during LA
battery over-charging",,,,,,,,,,,,
,28,2022-23,DD Shah Fragrances Pvt Ltd,Manufacturing,Area Monitoring,Hydrogenation Plant,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,29,2022-23,Adani Power (Mundra) Ltd,Power Plant,Area Monitoring,"H2 Filled Generator Area +
Ors","24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,30,2022-23,Neyveli Lignite (through Flowell Engineering),Power Plant,Area Monitoring,"H2 Filled Generator Area +
Ors","24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,31,2022-23,ISRO Propulsion Complex (IPRC),Space,Area Monitoring,Test chamber for H2 filled equipment testing,"24x7 monitoring for H2
leaks & hazardous buildup",,,,,,,,,,,,
,32,2022-23,The Director CSIR -CFTRI Mysore,Reserach - Food,Area Monitoring,Hydrogenation Research Set Up,"24x7 monitoring for H2
leaks & hazardous buildup",,,,,,,,,,,,
,33,2022-23,The Tata Power Co Ltd,"Power
Transmission",Area Monitoring,Lead Acid Battery Rooms,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,34,2022-23,The Tata Power Co Ltd,"Power
Transmission",Area Monitoring,Lead Acid Battery Rooms,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,35,2022-23,MMTC PAMP India Pvt Ltd,Manufacturing,Area Monitoring,Lead Acid Battery Rooms,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
,36,2023-24,"Powertronix Electricals
Private Limited","Building
Management",Area Monitoring,Lead Acid Battery Room,"H2 outgassing during LA
battery over-charging",,,,,,,,,,,,
,37,2023-24,"Reliance Industries
Limited (through Solutions 4 Hydrogen) ",Oil & Gas,Area Monitoring,Lead Acid Battery Room,"H2 outgassing during LA
battery over-charging",,,,,,,,,,,,
,38,2023-24,"M/S Medha Servo Drives
Pvt Ltd","H2 Mobility -
Trains",Area Monitoring,On-board train & test labs,"24x7 monitoring for H2
hazardous buildup",,,,,,,,,,,,
